N,Mint,City,Group
650,Tyre,Gamla,Phoenician
651,Tyre,Gamla,Phoenician
652,Tyre,Gamla,Phoenician
653,Tyre,Gamla,Phoenician
654,Tyre,Gamla,Phoenician
655,Tyre,Gamla,Phoenician
656,Tyre,Gamla,Phoenician
657,Tyre,Gamla,Phoenician
658,Tyre,Gamla,Phoenician
659,Tyre,Gamla,Phoenician
660,Tyre,Gamla,Phoenician
661,Tyre,Gamla,Phoenician
662,Tyre,Gamla,Phoenician
663,Tyre,Gamla,Phoenician
664,Tyre,Gamla,Phoenician
665,Tyre,Gamla,Phoenician
666,Tyre,Gamla,Phoenician
667,Tyre,Gamla,Phoenician
668,Tyre,Gamla,Phoenician
669,Tyre,Gamla,Phoenician
670,Tyre,Gamla,Phoenician
671,Tyre,Gamla,Phoenician
672,Tyre,Gamla,Phoenician
673,Tyre,Gamla,Phoenician
674,Tyre,Gamla,Phoenician
675,Tyre,Gamla,Phoenician
676,Tyre,Gamla,Phoenician
677,Tyre,Gamla,Phoenician
678,Tyre,Gamla,Phoenician
679,Tyre,Gamla,Phoenician
680,Tyre,Gamla,Phoenician
681,Tyre,Gamla,Phoenician
682,Tyre,Gamla,Phoenician
683,Tyre,Gamla,Phoenician
684,Tyre,Gamla,Phoenician
685,Tyre,Gamla,Phoenician
686,Tyre,Gamla,Phoenician
687,Tyre,Gamla,Phoenician
688,Tyre,Gamla,Phoenician
689,Tyre,Gamla,Phoenician
690,Tyre,Gamla,Phoenician
691,Tyre,Gamla,Phoenician
692,Tyre,Gamla,Phoenician
693,Tyre,Gamla,Phoenician
694,Tyre,Gamla,Phoenician
695,Tyre,Gamla,Phoenician
696,Tyre,Gamla,Phoenician
697,Tyre,Gamla,Phoenician
698,Tyre,Gamla,Phoenician
699,Tyre,Gamla,Phoenician
700,Tyre,Gamla,Phoenician
701,Tyre,Gamla,Phoenician
702,Tyre,Gamla,Phoenician
703,Tyre,Gamla,Phoenician
704,Tyre,Gamla,Phoenician
705,Tyre,Gamla,Phoenician
706,Tyre,Gamla,Phoenician
707,Tyre,Gamla,Phoenician
708,Tyre,Gamla,Phoenician
709,Tyre,Gamla,Phoenician
710,Tyre,Gamla,Phoenician
711,Tyre,Gamla,Phoenician
712,Tyre,Gamla,Phoenician
713,Tyre,Gamla,Phoenician
714,Tyre,Gamla,Phoenician
715,Tyre,Gamla,Phoenician
716,Tyre,Gamla,Phoenician
717,Tyre,Gamla,Phoenician
718,Tyre,Gamla,Phoenician
719,Tyre,Gamla,Phoenician
720,Tyre,Gamla,Phoenician
721,Tyre,Gamla,Phoenician
722,Tyre,Gamla,Phoenician
723,Tyre,Gamla,Phoenician
724,Tyre,Gamla,Phoenician
725,Tyre,Gamla,Phoenician
726,Tyre,Gamla,Phoenician
727,Tyre,Gamla,Phoenician
728,Tyre,Gamla,Phoenician
729,Tyre,Gamla,Phoenician
730,Tyre,Gamla,Phoenician
731,Tyre,Gamla,Phoenician
732,Tyre,Gamla,Phoenician
733,Tyre,Gamla,Phoenician
734,Tyre,Gamla,Phoenician
735,Tyre,Gamla,Phoenician
736,Tyre,Gamla,Phoenician
737,Tyre,Gamla,Phoenician
738,Tyre,Gamla,Phoenician
739,Tyre,Gamla,Phoenician
740,Tyre,Gamla,Phoenician
741,Tyre,Gamla,Phoenician
742,Tyre,Gamla,Phoenician
743,Tyre,Gamla,Phoenician
744,Tyre,Gamla,Phoenician
745,Tyre,Gamla,Phoenician
746,Tyre,Gamla,Phoenician
747,Tyre,Gamla,Phoenician
748,Tyre,Gamla,Phoenician
749,Tyre,Gamla,Phoenician
750,Tyre,Gamla,Phoenician
751,Tyre,Gamla,Phoenician
752,Tyre,Gamla,Phoenician
753,Tyre,Gamla,Phoenician
754,Tyre,Gamla,Phoenician
755,Tyre,Gamla,Phoenician
756,Tyre,Gamla,Phoenician
757,Tyre,Gamla,Phoenician
758,Tyre,Gamla,Phoenician
759,Tyre,Gamla,Phoenician
760,Tyre,Gamla,Phoenician
761,Tyre,Gamla,Phoenician
762,Tyre,Gamla,Phoenician
763,Tyre,Gamla,Phoenician
764,Tyre,Gamla,Phoenician
765,Tyre,Gamla,Phoenician
766,Tyre,Gamla,Phoenician
767,Tyre,Gamla,Phoenician
768,Tyre,Gamla,Phoenician
769,Tyre,Gamla,Phoenician
770,Tyre,Gamla,Phoenician
771,Tyre,Gamla,Phoenician
772,Tyre,Gamla,Phoenician
773,Tyre,Gamla,Phoenician
774,Tyre,Gamla,Phoenician
775,Tyre,Gamla,Phoenician
776,Tyre,Gamla,Phoenician
777,Tyre,Gamla,Phoenician
778,Tyre,Gamla,Phoenician
779,Tyre,Gamla,Phoenician
780,Tyre,Gamla,Phoenician
